"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"jeremy-prt/bloub",412,"jeremy-prt","https://avatars.githubusercontent.com/u/57547133?v=4","SVG recreation of the x.ai bot avatar. One shape morphing through 14 states, measured off the reference video frame by frame.","[""animation"",""avatar"",""morphing"",""svg"",""svg-animation"",""typescript"",""vue""]","https://github.com/jeremy-prt/bloub","2026-08-15T13:21:23Z","2026-08-19T01:36:47Z","2026-08-17T19:18:48Z","git://github.com/jeremy-prt/bloub.git","git@github.com:jeremy-prt/bloub.git","https://github.com/jeremy-prt/bloub.git","https://github.com/jeremy-prt/bloub","https://bloub.vercel.app",1206,"TypeScript",41,0,"main","MIT License"
"khanhcamap2020-sudo/formkind",97,"khanhcamap2020-sudo","https://avatars.githubusercontent.com/u/316407928?v=4","Global-readiness toolkit for international forms across HTML, JSX, Vue, Svelte, and CI.","[""accessibility"",""forms"",""github-action"",""globalization"",""i18n"",""internationalization"",""linter"",""react"",""sarif"",""svelte"",""vue""]","https://github.com/khanhcamap2020-sudo/formkind","2026-08-13T02:26:28Z","2026-08-18T15:39:57Z","2026-08-13T11:06:50Z","git://github.com/khanhcamap2020-sudo/formkind.git","git@github.com:khanhcamap2020-sudo/formkind.git","https://github.com/khanhcamap2020-sudo/formkind.git","https://github.com/khanhcamap2020-sudo/formkind",,218,"TypeScript",78,2,"main","Apache License 2.0"
"Dest1ny-Sec/dhunter",39,"Dest1ny-Sec","https://avatars.githubusercontent.com/u/239099195?v=4","AI 驱动的自主渗透测试平台：输入目标，AI agent 自动完成侦察→规划→主动测试→漏洞验证→报告生成。黑板引擎+多 worker+SRC 验收门禁。仅供学术与安全研究使用。","[""agent"",""ai-agent"",""autonomous-agent"",""bug-bounty"",""cybersecurity"",""golang"",""llm"",""offensive-security"",""penetration-testing"",""pentest"",""python"",""reconnaissance"",""red-team"",""security"",""vue"",""vulnerability-discovery"",""web-security""]","https://github.com/Dest1ny-Sec/dhunter","2026-08-15T15:28:31Z","2026-08-19T00:46:57Z","2026-08-18T13:47:39Z","git://github.com/Dest1ny-Sec/dhunter.git","git@github.com:Dest1ny-Sec/dhunter.git","https://github.com/Dest1ny-Sec/dhunter.git","https://github.com/Dest1ny-Sec/dhunter",,20038,"Go",4,1,"main","Other"
"nuxt-ui-templates/calendar",34,"nuxt-ui-templates","https://avatars.githubusercontent.com/u/81570812?v=4","Nuxt Calendar Template made with Nuxt UI.","[""calendar"",""nuxt"",""nuxt-ui"",""vue""]","https://github.com/nuxt-ui-templates/calendar","2026-08-12T15:30:06Z","2026-08-18T16:25:51Z","2026-08-18T16:22:43Z","git://github.com/nuxt-ui-templates/calendar.git","git@github.com:nuxt-ui-templates/calendar.git","https://github.com/nuxt-ui-templates/calendar.git","https://github.com/nuxt-ui-templates/calendar","https://calendar-template.nuxt.dev",633,"Vue",0,5,"main","MIT License"
"zcj-ui/sub2api-plus",9,"zcj-ui","https://avatars.githubusercontent.com/u/184645922?v=4","Enhanced Sub2API distribution focused on OpenAI/Codex account operations, quota inventory, proxy routing, and upstream compatibility.","[""api-gateway"",""codex"",""golang"",""llm-proxy"",""openai"",""sub2api"",""vue""]","https://github.com/zcj-ui/sub2api-plus","2026-08-14T16:48:54Z","2026-08-18T10:29:43Z","2026-08-17T20:19:09Z","git://github.com/zcj-ui/sub2api-plus.git","git@github.com:zcj-ui/sub2api-plus.git","https://github.com/zcj-ui/sub2api-plus.git","https://github.com/zcj-ui/sub2api-plus","",91740,"Go",0,0,"main","GNU Lesser General Public License v3.0"
"Miralous/Miracle",8,"Miralous","https://avatars.githubusercontent.com/u/286329492?v=4","A miracle blog theme based on VitePress after deleting accidentally.","[""blog"",""blog-theme"",""design"",""miracle"",""vitepress"",""vue""]","https://github.com/Miralous/Miracle","2026-08-17T11:40:59Z","2026-08-18T12:04:03Z","2026-08-18T12:03:11Z","git://github.com/Miralous/Miracle.git","git@github.com:Miralous/Miracle.git","https://github.com/Miralous/Miracle.git","https://github.com/Miralous/Miracle","https://silvaire.top",205647,"Vue",0,0,"main","MIT License"
"haiming236/openprint",5,"haiming236","https://avatars.githubusercontent.com/u/81062909?v=4","OpenPrint 是一款开源、零后端依赖的 Web 打印模板可视化设计器。它让用户通过拖拽即可设计快递面单、发票、标签、报表等打印模板，支持 AI 一句话生成、云打印、C++ 桌面客户端静默打印，3 分钟即可对接 ERP 系统。","[""erp"",""fabricjs"",""print"",""vue"",""vue3""]","https://github.com/haiming236/openprint","2026-08-13T00:34:43Z","2026-08-19T00:31:12Z","2026-08-17T05:23:55Z","git://github.com/haiming236/openprint.git","git@github.com:haiming236/openprint.git","https://github.com/haiming236/openprint.git","https://github.com/haiming236/openprint","https://op.yy360.space",6805,"TypeScript",0,0,"main",
"BungeeDEV/synap.md",4,"BungeeDEV","https://avatars.githubusercontent.com/u/102999814?v=4","Self-hosted notes app built with Nuxt 4 and Tauri. Markdown files on disk — the “vault”— are the source of truth. Synap is a native desktop app for secure, local-first knowledge management, with optional online vault sync via self-hosted Synap.md Vaults.","[""markdown"",""markdown-editor"",""md"",""rust"",""synap"",""tauri"",""typescript"",""vue""]","https://github.com/BungeeDEV/synap.md","2026-08-12T20:18:08Z","2026-08-18T13:42:29Z","2026-08-18T00:26:34Z","git://github.com/BungeeDEV/synap.md.git","git@github.com:BungeeDEV/synap.md.git","https://github.com/BungeeDEV/synap.md.git","https://github.com/BungeeDEV/synap.md","",1576,"Vue",0,0,"main","MIT License"
"the-last-of-the-bugs/vropper",4,"the-last-of-the-bugs","https://avatars.githubusercontent.com/u/312854685?v=4","A powerful, shape-aware image cropper for Vue","[""image-cropper"",""open-source"",""typescript"",""vite"",""vitest"",""vue""]","https://github.com/the-last-of-the-bugs/vropper","2026-08-12T10:19:25Z","2026-08-15T07:12:15Z","2026-08-14T11:22:17Z","git://github.com/the-last-of-the-bugs/vropper.git","git@github.com:the-last-of-the-bugs/vropper.git","https://github.com/the-last-of-the-bugs/vropper.git","https://github.com/the-last-of-the-bugs/vropper","https://vropper.vercel.app",5550,"TypeScript",0,0,"main","MIT License"
"Cyrene2008/AudioSeeker",3,"Cyrene2008","https://avatars.githubusercontent.com/u/180080264?v=4","Cyrene's Audio Seeker is a Windows desktop search tool for large audio libraries. It builds local fingerprint indexes and locates original files and offsets from short clips, long mixes, extracted recordings, or re-encoded samples. Cyreneの音频检索器是一款面向大型音频素材库的 Windows 桌面检索工具。程序会为音频目录建立本地指纹索引，并从短片段、混剪、录屏提取音频或重编码样本中定位原始文件与时间偏移","[""audio"",""fluent"",""fluent-design"",""fluent-ui"",""fluentui"",""index"",""libraries"",""library"",""python"",""tauri"",""tauri-app"",""tauri-v2"",""tauri2"",""vue"",""vue-router"",""vue3""]","https://github.com/Cyrene2008/AudioSeeker","2026-08-12T04:51:20Z","2026-08-14T04:24:54Z","2026-08-13T07:42:47Z","git://github.com/Cyrene2008/AudioSeeker.git","git@github.com:Cyrene2008/AudioSeeker.git","https://github.com/Cyrene2008/AudioSeeker.git","https://github.com/Cyrene2008/AudioSeeker","https://audioseeker.cyrene.hk",23121,"Python",0,0,"Cyrene","GNU General Public License v3.0"
