"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"2akouwu/reverify",790,"2akouwu","https://avatars.githubusercontent.com/u/14812897?v=4","Anti-hallucination for AI agents that read binaries. The model proposes, deterministic tools decide: every claim is VERIFIED or REFUTED against the real bytes, with evidence, and grounded facts survive context resets. MCP server + CLI.","[""ai"",""ai-agents"",""anti-hallucination"",""binary-analysis"",""context-engineering"",""ctf"",""developer-tools"",""disassembler"",""frida"",""grounding"",""hallucination"",""hallucination-detection"",""llm"",""malware-analysis"",""mcp"",""mcp-server"",""python"",""reverse-engineering"",""security-tools"",""verification""]","https://github.com/2akouwu/reverify","2026-08-31T01:02:18Z","2026-09-04T01:52:51Z","2026-09-03T23:44:01Z","git://github.com/2akouwu/reverify.git","git@github.com:2akouwu/reverify.git","https://github.com/2akouwu/reverify.git","https://github.com/2akouwu/reverify",,360,"Python",166,4,"main","MIT License"
"Oihalitz/xdp-dns-evadeproxy",68,"Oihalitz","https://avatars.githubusercontent.com/u/16503433?v=4","Proxy DNS en Rust para evitar bloqueos de operadores mediante reescritura transparente de IPs anycast.","[""cloudflare"",""dns"",""dns-proxy"",""dns-server"",""python"",""rust""]","https://github.com/Oihalitz/xdp-dns-evadeproxy","2026-08-29T10:54:29Z","2026-09-03T02:46:12Z","2026-08-31T12:21:53Z","git://github.com/Oihalitz/xdp-dns-evadeproxy.git","git@github.com:Oihalitz/xdp-dns-evadeproxy.git","https://github.com/Oihalitz/xdp-dns-evadeproxy.git","https://github.com/Oihalitz/xdp-dns-evadeproxy","xdp.es",75,"Rust",6,1,"main","MIT License"
"sharith45/atlas-Assistant",66,"sharith45","https://avatars.githubusercontent.com/u/180607319?v=4","Tu asistente personal, directamente en tu ordenador. Habla contigo por voz, gestiona WhatsApp, atiende llamadas, consulta la web y recuerda lo importante. Una inteligencia artificial diseñada para trabajar de forma local, privada y autónoma, sin depender de la nube.","[""agent"",""agent-skill"",""agent-skills"",""agentic"",""agentic-ai"",""agentic-workflow"",""agents"",""asistente"",""claude"",""claude-code"",""ia"",""jarvis"",""jarvis-ai-assistant"",""local-ai"",""personal-assistant"",""privacy"",""python"",""voice-assistant"",""whatsapp-bot"",""windows-desktop-app""]","https://github.com/sharith45/atlas-Assistant","2026-08-30T20:17:29Z","2026-09-04T01:08:52Z","2026-09-02T20:47:47Z","git://github.com/sharith45/atlas-Assistant.git","git@github.com:sharith45/atlas-Assistant.git","https://github.com/sharith45/atlas-Assistant.git","https://github.com/sharith45/atlas-Assistant","",11095,"Python",14,0,"main",
"Maas6696/cloudflare-challenge-clearance",65,"Maas6696","https://avatars.githubusercontent.com/u/306811885?v=4","Bypass the Cloudflare challenge (Just a moment / 5s) in Python and get a valid cf_clearance cookie via the Peak API - headless-friendly, proxy-aware.","[""anti-bot"",""captcha-solver"",""cf-clearance"",""cloudflare"",""cloudflare-bypass"",""cloudflare-challenge"",""cloudflare-scraper"",""just-a-moment"",""python"",""web-scraping""]","https://github.com/Maas6696/cloudflare-challenge-clearance","2026-09-02T16:39:22Z","2026-09-02T17:05:52Z","2026-09-02T16:39:33Z","git://github.com/Maas6696/cloudflare-challenge-clearance.git","git@github.com:Maas6696/cloudflare-challenge-clearance.git","https://github.com/Maas6696/cloudflare-challenge-clearance.git","https://github.com/Maas6696/cloudflare-challenge-clearance",,434,"Python",4,0,"main","MIT License"
"mhiqrambg/gsuite2router",55,"mhiqrambg","https://avatars.githubusercontent.com/u/78313274?v=4","CLI tool to bulk-add Google Workspace accounts to 9Router Antigravity provider via automated OAuth login, and clean up quota-exhausted connections.","[""9router"",""automation"",""browser-automation"",""cli"",""google-workspace"",""gsuite"",""python""]","https://github.com/mhiqrambg/gsuite2router","2026-08-29T14:06:30Z","2026-09-03T04:24:38Z","2026-08-29T16:11:00Z","git://github.com/mhiqrambg/gsuite2router.git","git@github.com:mhiqrambg/gsuite2router.git","https://github.com/mhiqrambg/gsuite2router.git","https://github.com/mhiqrambg/gsuite2router","",19,"Python",19,0,"main",
"lotchuazzz-crypto/papergraph-mcp",43,"lotchuazzz-crypto","https://avatars.githubusercontent.com/u/298805483?v=4","Turn arXiv and LaTeX mathematical papers into theorem dependency graphs for AI agents through MCP.","[""ai-agents"",""arxiv"",""knowledge-graph"",""latex"",""mathematics"",""mcp"",""model-context-protocol"",""python"",""research-tools"",""skills""]","https://github.com/lotchuazzz-crypto/papergraph-mcp","2026-09-02T05:59:46Z","2026-09-04T01:35:01Z","2026-09-03T08:45:00Z","git://github.com/lotchuazzz-crypto/papergraph-mcp.git","git@github.com:lotchuazzz-crypto/papergraph-mcp.git","https://github.com/lotchuazzz-crypto/papergraph-mcp.git","https://github.com/lotchuazzz-crypto/papergraph-mcp","",542,"Python",2,0,"main","MIT License"
"cyptnpassira/PromptLedger",41,"cyptnpassira","https://avatars.githubusercontent.com/u/6305864?v=4","PromptLedger - version prompt templates, run deterministic comparison snapshots, score candidate responses, and ship diffable experiment reports. Python core plus a Go companion CLI.","[""benchmark"",""diff"",""evaluation"",""experiments"",""go"",""llm"",""machine-learning"",""prompt-engineering"",""promptledger"",""python"",""reporting"",""reproducibility"",""snapshots"",""templates"",""versioning""]","https://github.com/cyptnpassira/PromptLedger","2026-09-03T04:26:04Z","2026-09-03T14:23:53Z","2026-09-03T08:24:07Z","git://github.com/cyptnpassira/PromptLedger.git","git@github.com:cyptnpassira/PromptLedger.git","https://github.com/cyptnpassira/PromptLedger.git","https://github.com/cyptnpassira/PromptLedger","https://rustdesk.com",238,"Python",0,0,"main","Apache License 2.0"
"jiabaobei/memory-bridge",41,"jiabaobei","https://avatars.githubusercontent.com/u/294371072?v=4","记忆桥 MemoryBridge — 跨设备、跨平台的 AI 共享记忆层 | Cross-device and cross-platform shared memory for AI (CDSMP implementation)","[""agent"",""ai"",""cdsmp"",""cross-device"",""cross-platform"",""llm"",""mcp"",""memory"",""python"",""semantic-memory""]","https://github.com/jiabaobei/memory-bridge","2026-08-29T04:34:06Z","2026-09-04T01:59:34Z","2026-09-03T14:03:33Z","git://github.com/jiabaobei/memory-bridge.git","git@github.com:jiabaobei/memory-bridge.git","https://github.com/jiabaobei/memory-bridge.git","https://github.com/jiabaobei/memory-bridge","",777,"Python",0,0,"main","MIT License"
"Xiuyiw/CFD-SCIPaper-Agent",38,"Xiuyiw","https://avatars.githubusercontent.com/u/150686301?v=4","Author-in-the-loop CLI for traceable CFD project state, evidence-aware topic planning, and reproducible research workflows.","[""cfd"",""computational-fluid-dynamics"",""python"",""reproducibility"",""research-workflow"",""scientific-computing"",""scientific-writing""]","https://github.com/Xiuyiw/CFD-SCIPaper-Agent","2026-08-30T05:00:19Z","2026-09-04T01:36:31Z","2026-08-31T02:55:58Z","git://github.com/Xiuyiw/CFD-SCIPaper-Agent.git","git@github.com:Xiuyiw/CFD-SCIPaper-Agent.git","https://github.com/Xiuyiw/CFD-SCIPaper-Agent.git","https://github.com/Xiuyiw/CFD-SCIPaper-Agent","https://github.com/Xiuyiw/CFD-SCIPaper-Agent",281,"Python",0,0,"main","Apache License 2.0"
"vicoa-ai/vicoa",33,"vicoa-ai","https://avatars.githubusercontent.com/u/249546925?v=4","Vicoa is the ADE for running a team of coding agents from any device. Desktop, mobile, VPS, open-source, self-hostable.","[""ade"",""ai-agents"",""ai-orchestrator"",""android"",""claude-code"",""codex"",""coding-agent"",""developer-tools"",""flutter"",""ios"",""linux"",""mobile"",""nextjs"",""opencode"",""python"",""self-hosted"",""typescript"",""vibe-coding"",""vicoa"",""windows""]","https://github.com/vicoa-ai/vicoa","2026-08-28T16:30:26Z","2026-09-04T01:55:49Z","2026-09-03T15:01:50Z","git://github.com/vicoa-ai/vicoa.git","git@github.com:vicoa-ai/vicoa.git","https://github.com/vicoa-ai/vicoa.git","https://github.com/vicoa-ai/vicoa","https://vicoa.ai",47095,"Python",7,0,"main","GNU Affero General Public License v3.0"
