"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"theNetworkChuck/paperclip-guide",35,"theNetworkChuck","https://avatars.githubusercontent.com/u/47433490?v=4","Companion guide for the NetworkChuck Paperclip video: install Paperclip and build an AI IT department. Every step tested on Paperclip 2026.916.1.","[""ai-agents"",""ai-company"",""claude-code"",""codex"",""flare"",""hermes"",""homelab"",""networkchuck"",""paperclip""]","https://github.com/theNetworkChuck/paperclip-guide","2026-09-24T15:00:59Z","2026-09-25T01:45:25Z","2026-09-24T15:02:21Z","git://github.com/theNetworkChuck/paperclip-guide.git","git@github.com:theNetworkChuck/paperclip-guide.git","https://github.com/theNetworkChuck/paperclip-guide.git","https://github.com/theNetworkChuck/paperclip-guide","https://youtu.be/7RVf25Rg0Mc",1216,"TypeScript",6,0,"main","MIT License"
"pasta-engineers/hermes-identity-setup",6,"pasta-engineers","https://avatars.githubusercontent.com/u/325531923?v=4","Hermes Identity Setup skill: map identity layers, run the onboarding interview, route answers.","[""hermes"",""hermes-agent"",""hermes-skill"",""skill""]","https://github.com/pasta-engineers/hermes-identity-setup","2026-09-23T17:37:07Z","2026-09-24T22:59:05Z","2026-09-23T18:07:59Z","git://github.com/pasta-engineers/hermes-identity-setup.git","git@github.com:pasta-engineers/hermes-identity-setup.git","https://github.com/pasta-engineers/hermes-identity-setup.git","https://github.com/pasta-engineers/hermes-identity-setup","",1387,,0,0,"main",
"ajensenwaud/hermes-jev-plugin",5,"ajensenwaud","https://avatars.githubusercontent.com/u/5827908?v=4","TypeSafe Jev (System One) decision tools for Hermes Agent: jev_check / jev_route / jev_score / jev_evaluate","[""ai-agents"",""decision-making"",""hermes"",""hermes-agent"",""jev"",""typesafe""]","https://github.com/ajensenwaud/hermes-jev-plugin","2026-09-19T07:23:19Z","2026-09-23T14:40:07Z","2026-09-19T08:41:19Z","git://github.com/ajensenwaud/hermes-jev-plugin.git","git@github.com:ajensenwaud/hermes-jev-plugin.git","https://github.com/ajensenwaud/hermes-jev-plugin.git","https://github.com/ajensenwaud/hermes-jev-plugin",,16,"Python",0,0,"main","MIT License"
"jrpbuilds/hermes-lumen-theme",4,"jrpbuilds","https://avatars.githubusercontent.com/u/80222?v=4","A brighter, clearer, more spacious theme for Hermes Desktop. Built for dense work.","[""css"",""hermes"",""hermes-agent"",""hermes-desktop"",""hermes-plugin"",""hermes-skill"",""hermes-theme"",""typescript"",""usability"",""ux""]","https://github.com/jrpbuilds/hermes-lumen-theme","2026-09-18T20:28:39Z","2026-09-24T16:22:44Z","2026-09-24T16:22:42Z","git://github.com/jrpbuilds/hermes-lumen-theme.git","git@github.com:jrpbuilds/hermes-lumen-theme.git","https://github.com/jrpbuilds/hermes-lumen-theme.git","https://github.com/jrpbuilds/hermes-lumen-theme","https://jrpbuilds.co.uk/projects/lumen/",835,"TypeScript",0,0,"main","MIT License"
"bojansandhaus/jev-decisions",3,"bojansandhaus","https://avatars.githubusercontent.com/u/114113320?v=4","Jev Decisions Plugin for Hermes (and other AI Agents): tool risk reviews, human approval recommendations, evidence checks, a local decision journal, and local decision supervision.","[""action-verification"",""agent-architecture"",""agent-tools"",""ai-agent-safety"",""ai-agents"",""approval-workflows"",""automation"",""decision-making"",""hermes"",""human-in-the-loop"",""llm"",""mcp"",""openrouter"",""python"",""tool-use""]","https://github.com/bojansandhaus/jev-decisions","2026-09-19T08:54:17Z","2026-09-24T12:26:37Z","2026-09-22T15:56:48Z","git://github.com/bojansandhaus/jev-decisions.git","git@github.com:bojansandhaus/jev-decisions.git","https://github.com/bojansandhaus/jev-decisions.git","https://github.com/bojansandhaus/jev-decisions","https://github.com/bojansandhaus/jev-decisions",239,"Python",0,0,"main","MIT License"
"typakon4/jev-layer",2,"typakon4","https://avatars.githubusercontent.com/u/100871491?v=4","Portable System-1 decision layer for agent harnesses with host-owned routing, receipts, replay, and fail-open integrations.","[""agent-harness"",""codex"",""decision-layer"",""decision-routing"",""developer-tools"",""fail-open"",""hermes"",""mcp"",""nodejs"",""omp"",""open-source"",""portable-agent"",""receipts"",""replay"",""system-1""]","https://github.com/typakon4/jev-layer","2026-09-19T16:17:25Z","2026-09-21T06:39:45Z","2026-09-21T19:17:04Z","git://github.com/typakon4/jev-layer.git","git@github.com:typakon4/jev-layer.git","https://github.com/typakon4/jev-layer.git","https://github.com/typakon4/jev-layer","https://www.npmjs.com/package/jev-layer",180,"JavaScript",1,1,"main","MIT License"
"sambaseness/hermes-collab-protocol",2,"sambaseness","https://avatars.githubusercontent.com/u/211538771?v=4","Multi-device AI agent collaboration protocol for Hermes","[""hermes"",""hermes-agent"",""hermes-skill""]","https://github.com/sambaseness/hermes-collab-protocol","2026-09-20T11:09:44Z","2026-09-21T16:56:29Z","2026-09-20T14:05:36Z","git://github.com/sambaseness/hermes-collab-protocol.git","git@github.com:sambaseness/hermes-collab-protocol.git","https://github.com/sambaseness/hermes-collab-protocol.git","https://github.com/sambaseness/hermes-collab-protocol","https://sambaseness.github.io/hermes-collab-protocol",395,"Python",1,0,"main","MIT License"
"PhoeniXAbhisheK/hermes-plugin-provider-usage",1,"PhoeniXAbhisheK","https://avatars.githubusercontent.com/u/16290904?v=4","Provider Usage: per-provider quota and balance readout in the Hermes desktop status bar.","[""hermes"",""hermes-agent"",""hermes-plugin"",""status-bar"",""usage-quota""]","https://github.com/PhoeniXAbhisheK/hermes-plugin-provider-usage","2026-09-21T22:46:21Z","2026-09-21T22:50:42Z","2026-09-21T22:46:31Z","git://github.com/PhoeniXAbhisheK/hermes-plugin-provider-usage.git","git@github.com:PhoeniXAbhisheK/hermes-plugin-provider-usage.git","https://github.com/PhoeniXAbhisheK/hermes-plugin-provider-usage.git","https://github.com/PhoeniXAbhisheK/hermes-plugin-provider-usage",,89,"JavaScript",0,0,"main","MIT License"
"jacobhausler/hermes-pinned-folders",1,"jacobhausler","https://avatars.githubusercontent.com/u/12172804?v=4","Hermes Desktop plugin: a Pinned sidebar tab that files pinned chats into nested, colored, drag-ordered folders.","[""hermes"",""hermes-agent"",""hermes-desktop"",""hermes-plugin""]","https://github.com/jacobhausler/hermes-pinned-folders","2026-09-23T17:45:25Z","2026-09-24T14:18:21Z","2026-09-24T00:42:42Z","git://github.com/jacobhausler/hermes-pinned-folders.git","git@github.com:jacobhausler/hermes-pinned-folders.git","https://github.com/jacobhausler/hermes-pinned-folders.git","https://github.com/jacobhausler/hermes-pinned-folders","",1347,"JavaScript",0,0,"main","MIT License"
"Meisburg/BuildCompany",1,"Meisburg","https://avatars.githubusercontent.com/u/331023862?v=4","portable, nontechnical starter kit for building a company with AI bots. Start with one bot and let it help create the team.","[""agentskills"",""ai-agent"",""ai-agents"",""bot"",""botskills"",""grok"",""grokbot"",""hermes"",""hermes-agent"",""hermesbot""]","https://github.com/Meisburg/BuildCompany","2026-09-18T19:06:37Z","2026-09-19T00:18:31Z","2026-09-18T19:21:25Z","git://github.com/Meisburg/BuildCompany.git","git@github.com:Meisburg/BuildCompany.git","https://github.com/Meisburg/BuildCompany.git","https://github.com/Meisburg/BuildCompany","",27,,0,0,"master","MIT License"
