"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"dmmulroy/anti-slop",2644,"dmmulroy","https://avatars.githubusercontent.com/u/2755722?v=4","Opinionated Oxlint rules for rejecting low-evidence TypeScript and JavaScript patterns","[""agent-skills"",""linting"",""oxlint"",""typescript""]","https://github.com/dmmulroy/anti-slop","2026-08-12T13:48:50Z","2026-08-19T01:42:35Z","2026-08-18T13:21:06Z","git://github.com/dmmulroy/anti-slop.git","git@github.com:dmmulroy/anti-slop.git","https://github.com/dmmulroy/anti-slop.git","https://github.com/dmmulroy/anti-slop",,62,"TypeScript",47,2,"main","MIT License"
"elie222/rakazo",854,"elie222","https://avatars.githubusercontent.com/u/3090527?v=4","Open-source Grok Bot alternative. Choose your own model and sandbox.","[""ai-agents"",""chatgpt"",""docker"",""electron"",""expo"",""grok"",""llm"",""self-hosted"",""typescript""]","https://github.com/elie222/rakazo","2026-08-13T06:28:56Z","2026-08-19T01:57:50Z","2026-08-19T00:05:39Z","git://github.com/elie222/rakazo.git","git@github.com:elie222/rakazo.git","https://github.com/elie222/rakazo.git","https://github.com/elie222/rakazo","https://rakazo.com",11882,"TypeScript",107,18,"main","Apache License 2.0"
"Anionex/dsh-vision-toolkit",703,"Anionex","https://avatars.githubusercontent.com/u/123177548?v=4","[dsh]为纯文本模型设计更强大的视觉工具箱：安装免费使用、粘贴图片直接识别、多张图片问答、截图到前端UI 还原等｜DeepSeek Harness-native integration for agent-vision-toolkit: image Q&A, long-screenshot OCR, UI restoration, grounding, pixel diff, Artifacts, and Web UI.","[""agent-skills"",""agent-vision-toolkit"",""computer-vision"",""deepseek"",""deepseek-harness"",""dsh"",""dsh-plugin"",""gui-automation"",""ocr"",""plugin"",""python"",""screenshot-testing"",""text-only-llm"",""typescript"",""ui-restoration"",""vision-language-model"",""vision-tools""]","https://github.com/Anionex/dsh-vision-toolkit","2026-08-13T12:36:34Z","2026-08-19T01:35:38Z","2026-08-18T19:23:29Z","git://github.com/Anionex/dsh-vision-toolkit.git","git@github.com:Anionex/dsh-vision-toolkit.git","https://github.com/Anionex/dsh-vision-toolkit.git","https://github.com/Anionex/dsh-vision-toolkit","https://agent-vision.anionex.me",10011,"TypeScript",31,6,"main","MIT License"
"decionis/agent-safe-pipeline",533,"decionis","https://avatars.githubusercontent.com/u/289489188?v=4","Reference architecture for AI agents that propose actions but cannot authorize them — immutable intent capture, an independent Decionis policy verdict (ALLOW/ESCALATE/BLOCK), verified human approval, and a SafeExecutor that consumes a single-use intent-bound grant.","[""agentic-ai"",""ai-agent-permissions"",""ai-agents"",""ai-governance"",""ai-safety"",""authorization"",""decionis"",""human-in-the-loop"",""mcp"",""policy-as-code"",""reference-architecture"",""typescript""]","https://github.com/decionis/agent-safe-pipeline","2026-08-13T21:36:19Z","2026-08-18T23:32:28Z","2026-08-17T21:37:07Z","git://github.com/decionis/agent-safe-pipeline.git","git@github.com:decionis/agent-safe-pipeline.git","https://github.com/decionis/agent-safe-pipeline.git","https://github.com/decionis/agent-safe-pipeline","https://decionis.com/docs?utm_source=github&utm_medium=org_readme&utm_campaign=dev_discovery",809,"TypeScript",58,10,"master","Apache License 2.0"
"vibeinging/deepseek-harness-desktop-app",487,"vibeinging","https://avatars.githubusercontent.com/u/8122332?v=4","DeepSeek Harness Desktop App: a local AI desktop workspace for DSH Sessions, projects, files, web research, plugins, and Office artifacts.","[""agentic-workflows"",""ai-agent"",""ai-workbench"",""data-analysis"",""deepseek-harness"",""desktop-app"",""dsh"",""dsh-plugin"",""electron"",""local-first"",""mcp"",""model-context-protocol"",""office-automation"",""react"",""typescript""]","https://github.com/vibeinging/deepseek-harness-desktop-app","2026-08-13T10:41:33Z","2026-08-19T01:07:00Z","2026-08-15T08:56:28Z","git://github.com/vibeinging/deepseek-harness-desktop-app.git","git@github.com:vibeinging/deepseek-harness-desktop-app.git","https://github.com/vibeinging/deepseek-harness-desktop-app.git","https://github.com/vibeinging/deepseek-harness-desktop-app",,13558,"JavaScript",7,6,"dev","MIT License"
"jeremy-prt/bloub",412,"jeremy-prt","https://avatars.githubusercontent.com/u/57547133?v=4","SVG recreation of the x.ai bot avatar. One shape morphing through 14 states, measured off the reference video frame by frame.","[""animation"",""avatar"",""morphing"",""svg"",""svg-animation"",""typescript"",""vue""]","https://github.com/jeremy-prt/bloub","2026-08-15T13:21:23Z","2026-08-19T01:36:47Z","2026-08-17T19:18:48Z","git://github.com/jeremy-prt/bloub.git","git@github.com:jeremy-prt/bloub.git","https://github.com/jeremy-prt/bloub.git","https://github.com/jeremy-prt/bloub","https://bloub.vercel.app",1206,"TypeScript",41,0,"main","MIT License"
"op7418/pilot-harness",180,"op7418","https://avatars.githubusercontent.com/u/13505770?v=4","Pilot Harness — a CodePilot-inspired desktop client and plugin suite for DeepSeek Harness on macOS, Windows, and Linux.","[""ai-agent"",""codepilot"",""deepseek"",""deepseek-harness"",""desktop-app"",""dsh"",""dsh-plugin"",""electron"",""linux"",""macos"",""typescript"",""windows""]","https://github.com/op7418/pilot-harness","2026-08-17T06:56:42Z","2026-08-19T01:59:39Z","2026-08-18T15:40:45Z","git://github.com/op7418/pilot-harness.git","git@github.com:op7418/pilot-harness.git","https://github.com/op7418/pilot-harness.git","https://github.com/op7418/pilot-harness",,128179,"TypeScript",10,6,"main","MIT License"
"cocofhu/anime-find",146,"cocofhu","https://avatars.githubusercontent.com/u/43171452?v=4","DeepSeek Harness 搜番插件：对话内多源搜索番剧，卡片展示 Bangumi 评分与详情，支持复制磁力。","[""anime"",""anime-search"",""bangumi"",""deepseek"",""deepseek-harness"",""dsh"",""dsh-plugin"",""magnet"",""mikan"",""plugin"",""torrent"",""typescript""]","https://github.com/cocofhu/anime-find","2026-08-15T13:53:46Z","2026-08-18T17:00:19Z","2026-08-18T03:51:56Z","git://github.com/cocofhu/anime-find.git","git@github.com:cocofhu/anime-find.git","https://github.com/cocofhu/anime-find.git","https://github.com/cocofhu/anime-find","https://github.com/cocofhu/anime-find#readme",2100,"TypeScript",31,1,"main","MIT License"
"anonrig/router",144,"anonrig","https://avatars.githubusercontent.com/u/1935246?v=4","The TanStack Router API. Rebuilt for the hot path.","[""react"",""react19"",""router"",""ssr"",""tanstack"",""typescript""]","https://github.com/anonrig/router","2026-08-15T19:21:18Z","2026-08-19T01:52:31Z","2026-08-19T01:56:37Z","git://github.com/anonrig/router.git","git@github.com:anonrig/router.git","https://github.com/anonrig/router.git","https://github.com/anonrig/router",,1328,"TypeScript",3,5,"main","MIT License"
"m1ckc3s/procedural-sounds",135,"m1ckc3s","https://avatars.githubusercontent.com/u/108453477?v=4","Procedural interface sounds, with taste. Generated live in the browser from recipes, steered by a hand-curated library and calibrated by ear. No audio files. Beta, open to collaborators.","[""design-tools"",""generative-audio"",""interface-design"",""microinteractions"",""nextjs"",""open-source"",""procedural-audio"",""react"",""sound-design"",""synthesizer"",""tailwindcss"",""typescript"",""ui-sounds"",""ux"",""web-audio"",""web-audio-api""]","https://github.com/m1ckc3s/procedural-sounds","2026-08-15T21:36:23Z","2026-08-18T23:19:00Z","2026-08-18T05:05:08Z","git://github.com/m1ckc3s/procedural-sounds.git","git@github.com:m1ckc3s/procedural-sounds.git","https://github.com/m1ckc3s/procedural-sounds.git","https://github.com/m1ckc3s/procedural-sounds","https://procedural-sounds.vercel.app",1271,"TypeScript",3,0,"main","MIT License"
"V1ki/dsh-plugin-subscriptions",122,"V1ki","https://avatars.githubusercontent.com/u/5071121?v=4","Use ChatGPT (Codex), Claude, and Grok (X Premium) subscriptions as DeepSeek Harness LLM providers — OAuth login in the web UI, no API keys","[""ai-agent"",""chatgpt"",""claude"",""codex"",""deepseek-harness"",""dsh-plugin"",""grok"",""llm"",""oauth"",""typescript""]","https://github.com/V1ki/dsh-plugin-subscriptions","2026-08-14T08:27:11Z","2026-08-19T01:54:50Z","2026-08-18T07:07:40Z","git://github.com/V1ki/dsh-plugin-subscriptions.git","git@github.com:V1ki/dsh-plugin-subscriptions.git","https://github.com/V1ki/dsh-plugin-subscriptions.git","https://github.com/V1ki/dsh-plugin-subscriptions",,840,"TypeScript",8,5,"main","MIT License"
