"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"CopilotKit/OpenBot",1667,"CopilotKit","https://avatars.githubusercontent.com/u/131273140?v=4","Open-source AI coworkers that each get a computer of their own: a browser, files and tools, with every action decided before it happens and recorded after. Bring any AG-UI agent.","[""ag-ui"",""agent-governance"",""ai-agents"",""browser-automation"",""copilotkit"",""generative-ui"",""mcp""]","https://github.com/CopilotKit/OpenBot","2026-08-17T00:44:59Z","2026-08-21T01:58:05Z","2026-08-21T01:44:17Z","git://github.com/CopilotKit/OpenBot.git","git@github.com:CopilotKit/OpenBot.git","https://github.com/CopilotKit/OpenBot.git","https://github.com/CopilotKit/OpenBot","https://www.copilotkit.ai/openbot",1477,"TypeScript",173,36,"main","MIT License"
"wang2122/sprix-sage-router",678,"wang2122","https://avatars.githubusercontent.com/u/78741078?v=4","Sprix AI at 屿智同行 — state-aware SELF/COLLABORATE/HANDOFF routing for A2A agent networks.","[""a2a"",""agent-orchestration"",""agent-routing"",""ai-agents"",""multi-agent-systems"",""python"",""sprix-ai"",""task-scheduling""]","https://github.com/wang2122/sprix-sage-router","2026-08-18T04:08:11Z","2026-08-20T16:46:12Z","2026-08-18T04:56:20Z","git://github.com/wang2122/sprix-sage-router.git","git@github.com:wang2122/sprix-sage-router.git","https://github.com/wang2122/sprix-sage-router.git","https://github.com/wang2122/sprix-sage-router","",77,"Python",11,0,"main","MIT License"
"Spielewoy/autoprompt-skill",450,"Spielewoy","https://avatars.githubusercontent.com/u/77499101?v=4","Autoprompt is a coding-agent skill that cuts failures by 45% on agentic coding tasks.","[""agent-orchestration"",""agent-skills"",""agentic-workflows"",""ai-agents"",""ai-coding"",""automated-testing"",""autonomous-agents"",""claude-code"",""cli"",""code-review"",""codex"",""coding-agent"",""developer-tools"",""github-copilot"",""multi-agent-systems"",""opencode"",""prompt-engineering"",""subagents"",""test-driven-development"",""workflow-automation""]","https://github.com/Spielewoy/autoprompt-skill","2026-08-17T22:40:47Z","2026-08-21T01:55:25Z","2026-08-20T12:54:37Z","git://github.com/Spielewoy/autoprompt-skill.git","git@github.com:Spielewoy/autoprompt-skill.git","https://github.com/Spielewoy/autoprompt-skill.git","https://github.com/Spielewoy/autoprompt-skill","https://www.npmjs.com/package/autoprompt-skill",2885,"JavaScript",33,3,"main","MIT License"
"soumatheusgomes/vibe-coding-toolkit",210,"soumatheusgomes","https://avatars.githubusercontent.com/u/11700039?v=4","A curated, battle-tested AI-coding toolkit: Claude Code plugins, subagent orchestration, quality gates, and ready-to-copy prompts, extracted from real production use.","[""ai-agents"",""ai-coding"",""claude-code"",""developer-tools"",""llm-agents"",""prompts""]","https://github.com/soumatheusgomes/vibe-coding-toolkit","2026-08-14T23:41:31Z","2026-08-21T01:45:28Z","2026-08-15T16:49:18Z","git://github.com/soumatheusgomes/vibe-coding-toolkit.git","git@github.com:soumatheusgomes/vibe-coding-toolkit.git","https://github.com/soumatheusgomes/vibe-coding-toolkit.git","https://github.com/soumatheusgomes/vibe-coding-toolkit",,354,,47,1,"main","MIT License"
"xmanrui/dsh-im",155,"xmanrui","https://avatars.githubusercontent.com/u/4094054?v=4","通过扫码或机器人凭据把IM机器人接入DeepSeek Harness（支持飞书、微信、钉钉、企业微信、QQ、Slack、Telegram、Discord和WhatsApp）。 Connect IM bots to DeepSeek Harness via QR code or credentials (9 channels).","[""ai-agents"",""chatbot"",""cordis"",""deepseek"",""deepseek-harness"",""dingtalk-bot"",""discord-bot"",""dsh"",""dsh-plugin"",""feishu-bot"",""im-bot"",""slack-bot"",""telegram-bot"",""wechat-bot"",""whatsapp-bot""]","https://github.com/xmanrui/dsh-im","2026-08-14T20:40:06Z","2026-08-21T01:56:30Z","2026-08-20T20:24:02Z","git://github.com/xmanrui/dsh-im.git","git@github.com:xmanrui/dsh-im.git","https://github.com/xmanrui/dsh-im.git","https://github.com/xmanrui/dsh-im",,20798,"JavaScript",27,7,"main","MIT License"
"ZSeven-W/dsh-noema",117,"ZSeven-W","https://avatars.githubusercontent.com/u/218180147?v=4","Noema long-term memory plugin for DSH: durable, inspectable agent memory with recall tools and a settings page.","[""agent-memory"",""ai-agents"",""coding-agent"",""deepseek-harness"",""dsh"",""dsh-plugin"",""long-term-memory"",""mcp"",""memory"",""noema"",""plugin"",""typescript""]","https://github.com/ZSeven-W/dsh-noema","2026-08-14T12:38:51Z","2026-08-21T01:47:33Z","2026-08-20T13:03:03Z","git://github.com/ZSeven-W/dsh-noema.git","git@github.com:ZSeven-W/dsh-noema.git","https://github.com/ZSeven-W/dsh-noema.git","https://github.com/ZSeven-W/dsh-noema","op.zseven.tech",3902,"TypeScript",7,1,"main","MIT License"
"toolclub/dsh-agent-team-gui",111,"toolclub","https://avatars.githubusercontent.com/u/266060413?v=4","Persistent multi-model workflow teams for DeepSeek Harness — dynamic lead planning, bounded DAGs, per-agent model/tools, Run Center and Token insights.","[""agent"",""agent-orchestration"",""ai-agents"",""dag"",""deepseek-harness"",""deepseek-harness-plugin"",""dsh"",""dsh-plugin"",""dsh-plugins"",""multi-agent"",""multi-model"",""orchestration"",""react"",""token-usage"",""typescript"",""workflow-engine""]","https://github.com/toolclub/dsh-agent-team-gui","2026-08-15T03:40:19Z","2026-08-21T00:02:24Z","2026-08-19T02:37:45Z","git://github.com/toolclub/dsh-agent-team-gui.git","git@github.com:toolclub/dsh-agent-team-gui.git","https://github.com/toolclub/dsh-agent-team-gui.git","https://github.com/toolclub/dsh-agent-team-gui","https://github.com/toolclub/dsh-agent-team-gui#readme",1664,"TypeScript",1,0,"main","MIT License"
"zorost/AI-Engineering-Lab",98,"zorost","https://avatars.githubusercontent.com/u/4138993?v=4","A free, self-paced 24-week AI engineering course: Python, machine learning, LLMs, RAG, fine-tuning, agents and MCP, Azure and Vertex and Bedrock, and Databricks. 43 runnable notebooks, one continuous case study. MIT licensed, no signup. By Zorost Intelligence AI Lab.","[""ai-agents"",""ai-engineering"",""course"",""curriculum"",""databricks"",""deep-learning"",""fine-tuning"",""generative-ai"",""learning-resources"",""llm"",""machine-learning"",""mcp"",""mlops"",""prompt-engineering"",""pyspark"",""python"",""rag"",""roadmap"",""vector-search"",""zorost""]","https://github.com/zorost/AI-Engineering-Lab","2026-08-17T16:34:05Z","2026-08-20T23:55:46Z","2026-08-17T19:36:07Z","git://github.com/zorost/AI-Engineering-Lab.git","git@github.com:zorost/AI-Engineering-Lab.git","https://github.com/zorost/AI-Engineering-Lab.git","https://github.com/zorost/AI-Engineering-Lab","https://zorost.com/ai-engineering-lab",5752,"Jupyter Notebook",92,0,"main","MIT License"
"elie222/botdirectory.ai",92,"elie222","https://avatars.githubusercontent.com/u/3090527?v=4","Open-source directory of agent-bot prompts for Grok Bot, Rakazo, and any agent — botdirectory.ai","[""agents"",""ai-agents"",""astro"",""automation"",""bots"",""directory"",""grok"",""grokbot"",""llm"",""prompt-engineering"",""prompts"",""rakazo""]","https://github.com/elie222/botdirectory.ai","2026-08-17T18:23:44Z","2026-08-20T20:56:21Z","2026-08-20T16:38:08Z","git://github.com/elie222/botdirectory.ai.git","git@github.com:elie222/botdirectory.ai.git","https://github.com/elie222/botdirectory.ai.git","https://github.com/elie222/botdirectory.ai","https://botdirectory.ai",13185,"Astro",42,3,"main","MIT License"
"ustoppble/overclick",83,"ustoppble","https://avatars.githubusercontent.com/u/115774889?v=4","The open source task board where AI agents do the work. Self-hosted, MCP-native, zero data collection.","[""agents"",""ai-agents"",""kanban"",""mcp"",""self-hosted"",""task-management""]","https://github.com/ustoppble/overclick","2026-08-14T22:10:35Z","2026-08-21T00:12:55Z","2026-08-21T00:12:47Z","git://github.com/ustoppble/overclick.git","git@github.com:ustoppble/overclick.git","https://github.com/ustoppble/overclick.git","https://github.com/ustoppble/overclick",,6752,"TypeScript",9,2,"main","MIT License"
"ZSeven-W/dsh-ios",79,"ZSeven-W","https://avatars.githubusercontent.com/u/218180147?v=4","DeepSeek Harness (DSH) plugin: a live iOS Simulator — and a USB-connected iPhone — inside the conversation. 21 agent tools for booting, building, driving the UI by accessibility identity, OCR text or list rows, plus a streaming sidebar panel you can tap and drag on.","[""accessibility"",""ai-agents"",""coding-agent"",""deepseek-harness"",""dsh"",""dsh-plugin"",""ios"",""ios-simulator"",""iphone"",""mcp"",""mobile-automation"",""plugin"",""typescript"",""ui-automation"",""webdriveragent"",""xcode""]","https://github.com/ZSeven-W/dsh-ios","2026-08-19T18:02:50Z","2026-08-21T01:53:27Z","2026-08-20T12:52:12Z","git://github.com/ZSeven-W/dsh-ios.git","git@github.com:ZSeven-W/dsh-ios.git","https://github.com/ZSeven-W/dsh-ios.git","https://github.com/ZSeven-W/dsh-ios",,2323,"TypeScript",7,0,"main","MIT License"
