"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"gilsonnogueira/notebooklm-para-concursos",31,"gilsonnogueira","https://avatars.githubusercontent.com/u/131480786?v=4","Ecossistema de Engenharia de Estudos com IA Fundamentada (NotebookLM + Gemini Estudantes). Metodologia N.A.G. (Nucleo de Aprendizagem Guiada) com 19 Prompts calibrados, Raio-X estatistico de bancas e Metodo MIT.","[""anki"",""artificial-intelligence"",""cebraspe"",""concursos-publicos"",""estudos"",""fcc"",""fgv"",""gemini"",""notebooklm"",""prompt-engineering"",""source-grounded-ai"",""spaced-repetition"",""study-methods"",""vark""]","https://github.com/gilsonnogueira/notebooklm-para-concursos","2026-09-21T14:14:12Z","2026-09-25T20:06:35Z","2026-09-23T17:35:57Z","git://github.com/gilsonnogueira/notebooklm-para-concursos.git","git@github.com:gilsonnogueira/notebooklm-para-concursos.git","https://github.com/gilsonnogueira/notebooklm-para-concursos.git","https://github.com/gilsonnogueira/notebooklm-para-concursos",,2710,,5,0,"main","MIT License"
"initPM/ai-kyc-aml-assistant",18,"initPM","https://avatars.githubusercontent.com/u/11300854?v=4","An AI-assisted compliance dashboard for accelerating customer onboarding, featuring automated document verification and PEP/sanctions risk screening workflows.","[""aml"",""artificial-intelligence"",""compliance"",""kyc"",""regtech""]","https://github.com/initPM/ai-kyc-aml-assistant","2026-09-24T10:12:46Z","2026-09-24T13:09:08Z","2026-09-24T13:09:04Z","git://github.com/initPM/ai-kyc-aml-assistant.git","git@github.com:initPM/ai-kyc-aml-assistant.git","https://github.com/initPM/ai-kyc-aml-assistant.git","https://github.com/initPM/ai-kyc-aml-assistant","",105,"TypeScript",0,0,"main","MIT License"
"NSStudent/JevSwiftSDK",8,"NSStudent","https://avatars.githubusercontent.com/u/895162?v=4","An independent, type-safe Swift SDK for TypeSafe Jev, with async/await, batching, retries, and SPM support.","[""api-client"",""artificial-intelligence"",""async-await"",""ios"",""jev"",""linux"",""machine-learning"",""macos"",""sdk"",""server-side-swift"",""spm"",""structured-output"",""swift"",""swift-concurrency"",""swift-package-manager"",""swift-sdk"",""swift6"",""type-safe"",""typesafe"",""typesafe-ai""]","https://github.com/NSStudent/JevSwiftSDK","2026-09-19T18:50:16Z","2026-09-21T07:05:58Z","2026-09-19T19:09:14Z","git://github.com/NSStudent/JevSwiftSDK.git","git@github.com:NSStudent/JevSwiftSDK.git","https://github.com/NSStudent/JevSwiftSDK.git","https://github.com/NSStudent/JevSwiftSDK",,36,"Swift",0,0,"main","MIT License"
"lucidrains/recurrent-transformer",8,"lucidrains","https://avatars.githubusercontent.com/u/108653?v=4","Explorations into the Recurrent Transformer proposed by Costin-Andrei Oncescu et al. of Harvard University","[""artificial-intelligence"",""attention-mechanism"",""deep-learning"",""recurrence"",""transformers""]","https://github.com/lucidrains/recurrent-transformer","2026-09-25T14:17:34Z","2026-09-25T22:27:42Z","2026-09-25T14:18:29Z","git://github.com/lucidrains/recurrent-transformer.git","git@github.com:lucidrains/recurrent-transformer.git","https://github.com/lucidrains/recurrent-transformer.git","https://github.com/lucidrains/recurrent-transformer","",4,,1,0,"main","MIT License"
"Loophole-LLC/Jayce",6,"Loophole-LLC","https://avatars.githubusercontent.com/u/331345437?v=4","Adaptive Prototype Memory: a small prototype learner benchmarked against backprop, plus a chat demo where it learns from a local LLM.","[""ai"",""artificial-intelligence""]","https://github.com/Loophole-LLC/Jayce","2026-09-19T18:07:05Z","2026-09-26T03:23:53Z","2026-09-23T03:41:28Z","git://github.com/Loophole-LLC/Jayce.git","git@github.com:Loophole-LLC/Jayce.git","https://github.com/Loophole-LLC/Jayce.git","https://github.com/Loophole-LLC/Jayce","https://loophole.company",272,"Python",1,0,"main","GNU Affero General Public License v3.0"
"lucidrains/log-depth-recurrent-modeling",5,"lucidrains","https://avatars.githubusercontent.com/u/108653?v=4","Explorations into the Log Depth Recurrent Modeling proposed by Yiqin Wang of Imperial College London","[""artificial-intelligence"",""deep-learning"",""language-modeling"",""ldru""]","https://github.com/lucidrains/log-depth-recurrent-modeling","2026-09-24T13:16:39Z","2026-09-26T01:21:29Z","2026-09-26T01:21:25Z","git://github.com/lucidrains/log-depth-recurrent-modeling.git","git@github.com:lucidrains/log-depth-recurrent-modeling.git","https://github.com/lucidrains/log-depth-recurrent-modeling.git","https://github.com/lucidrains/log-depth-recurrent-modeling","",35817,"Python",1,0,"main","MIT License"
"nirmalpaul383/neo.js",5,"nirmalpaul383","https://avatars.githubusercontent.com/u/40243913?v=4","neo.js is an artificial neural network library written from scratch in vanila (pure) JavaScript.","[""artificial-intelligence"",""artificial-intelligence-algorithms"",""artificial-neural-networks"",""brainjs"",""feedforward-neural-network"",""javascript"",""javascript-library"",""neural-network"",""neural-networks"",""tensorflow""]","https://github.com/nirmalpaul383/neo.js","2026-09-19T19:56:56Z","2026-09-22T19:03:38Z","2026-09-19T20:02:45Z","git://github.com/nirmalpaul383/neo.js.git","git@github.com:nirmalpaul383/neo.js.git","https://github.com/nirmalpaul383/neo.js.git","https://github.com/nirmalpaul383/neo.js","",907,"JavaScript",0,0,"main","GNU General Public License v3.0"
"AlexProgrammerDE/PistonDecompiler",4,"AlexProgrammerDE","https://avatars.githubusercontent.com/u/40795980?v=4","Persistent AI-assisted binary analysis with Ghidra, Rust, gRPC-Web, and a TanStack workbench.","[""agpl-3-0"",""artificial-intelligence"",""binary-analysis"",""decompiler"",""ghidra"",""grpc-web"",""reverse-engineering"",""rust"",""sqlite"",""tanstack""]","https://github.com/AlexProgrammerDE/PistonDecompiler","2026-09-19T21:00:57Z","2026-09-22T15:49:35Z","2026-09-20T20:12:35Z","git://github.com/AlexProgrammerDE/PistonDecompiler.git","git@github.com:AlexProgrammerDE/PistonDecompiler.git","https://github.com/AlexProgrammerDE/PistonDecompiler.git","https://github.com/AlexProgrammerDE/PistonDecompiler","https://decompiler.pistonmaster.net",745,"Rust",0,5,"main","GNU Affero General Public License v3.0"
"Parithosh-Varma/opencode-proxy",3,"Parithosh-Varma","https://avatars.githubusercontent.com/u/277201506?v=4","Use OpenCode Zen free models anywhere — zero-dep local OpenAI-compatible proxy (mimo, nemotron, ling, big-pickle, muse-spark)","[""ai-agents"",""artificial-intelligence"",""chat-completions"",""coding-assistant"",""developer-tools"",""free-api"",""free-llm"",""inference"",""llm-gateway"",""llm-proxy"",""local-llm"",""nodejs"",""openai"",""openai-compatible"",""openai-proxy"",""opencode"",""self-hosted"",""zen""]","https://github.com/Parithosh-Varma/opencode-proxy","2026-09-23T04:01:13Z","2026-09-23T15:04:20Z","2026-09-23T04:15:28Z","git://github.com/Parithosh-Varma/opencode-proxy.git","git@github.com:Parithosh-Varma/opencode-proxy.git","https://github.com/Parithosh-Varma/opencode-proxy.git","https://github.com/Parithosh-Varma/opencode-proxy",,71,"JavaScript",0,0,"main","MIT License"
"avikds/deep-ml",2,"avikds","https://avatars.githubusercontent.com/u/76389141?v=4","My machine learning practice from Deep-ML: solutions, labs and progress.","[""algorithms"",""artificial-intelligence"",""computer-vision"",""data-science"",""data-structures"",""deep-learning"",""generative-ai"",""gpu-programming"",""linear-algebra"",""llms"",""machine-learning"",""mlops"",""neural-networks"",""nlp"",""pytorch"",""reinforcement-learning"",""statistics"",""transformers""]","https://github.com/avikds/deep-ml","2026-09-19T04:39:47Z","2026-09-26T03:33:26Z","2026-09-26T03:33:23Z","git://github.com/avikds/deep-ml.git","git@github.com:avikds/deep-ml.git","https://github.com/avikds/deep-ml.git","https://github.com/avikds/deep-ml","https://avikds.github.io/deep-ml/",790,"Python",0,0,"main",
