"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"Renhuai123/nihai-tianji-corpus",13,"Renhuai123","https://avatars.githubusercontent.com/u/91890238?v=4","倪海厦《天纪》结构化语料库 v2.0 — 天纪全量 4886 条判语，十一册体系，112 单元约 61 小时讲课，每条带精确到秒的视频出处可回放溯源。线上平台 metisziwei.com（天纪板块开发中）。语料 CC BY-NC-SA / 代码 MIT","[""chinese-astrology"",""corpus"",""dataset"",""nlp"",""ziweidoushu""]","https://github.com/Renhuai123/nihai-tianji-corpus","2026-08-16T01:00:59Z","2026-08-21T01:31:34Z","2026-08-18T00:32:25Z","git://github.com/Renhuai123/nihai-tianji-corpus.git","git@github.com:Renhuai123/nihai-tianji-corpus.git","https://github.com/Renhuai123/nihai-tianji-corpus.git","https://github.com/Renhuai123/nihai-tianji-corpus","https://metisziwei.com",4884,"HTML",4,0,"main","Other"
"nwiizo/suiko",10,"nwiizo","https://avatars.githubusercontent.com/u/12461120?v=4","日本語文書の自然さと読みやすさを再現可能に診断するRust CLI / Deterministic diagnostics for natural and readable Japanese writing","[""cli"",""japanese"",""japanese-language"",""lint"",""linter"",""markdown"",""nlp"",""proofreading"",""rust"",""sudachi"",""text-processing"",""writing""]","https://github.com/nwiizo/suiko","2026-08-17T16:27:05Z","2026-08-20T16:34:05Z","2026-08-20T14:36:24Z","git://github.com/nwiizo/suiko.git","git@github.com:nwiizo/suiko.git","https://github.com/nwiizo/suiko.git","https://github.com/nwiizo/suiko","https://crates.io/crates/suiko",873,"Rust",0,1,"main","MIT License"
"tainguyen07/nlp-intent-classifier",7,"tainguyen07","https://avatars.githubusercontent.com/u/33820160?v=4","Fine-tuned BERT intent classifier for conversational NLU: HuggingFace Transformers training loop, ONNX export, confidence calibration and a serving API.","[""bert"",""deep-learning"",""huggingface"",""intent-classification"",""nlp"",""pytorch"",""text-classification"",""transformers""]","https://github.com/tainguyen07/nlp-intent-classifier","2026-08-20T16:21:51Z","2026-08-21T00:42:59Z","2026-08-21T00:37:55Z","git://github.com/tainguyen07/nlp-intent-classifier.git","git@github.com:tainguyen07/nlp-intent-classifier.git","https://github.com/tainguyen07/nlp-intent-classifier.git","https://github.com/tainguyen07/nlp-intent-classifier",,66,"Python",0,0,"main","MIT License"
"umran666/caliper",7,"umran666","https://avatars.githubusercontent.com/u/152087084?v=4","High-precision, zero-dependency Byte-Fallback Unigram tokenizer with dual-offset tracking, arithmetic isolation, and multilingual Unicode protection.","[""byte-fallback"",""deep-learning"",""nlp"",""python"",""subwords"",""tokenization"",""tokenizer"",""unigram"",""viterbi-algorithm"",""zero-dependencies""]","https://github.com/umran666/caliper","2026-08-15T15:18:47Z","2026-08-20T09:41:29Z","2026-08-20T06:04:14Z","git://github.com/umran666/caliper.git","git@github.com:umran666/caliper.git","https://github.com/umran666/caliper.git","https://github.com/umran666/caliper","",313,"Python",1,0,"main","MIT License"
"tainguyen07/semantic-search-faiss",6,"tainguyen07","https://avatars.githubusercontent.com/u/33820160?v=4","Semantic search engine over documents: sentence-transformers embeddings, FAISS ANN index, hybrid BM25+dense retrieval, reranking and a query API.","[""embeddings"",""faiss"",""information-retrieval"",""nlp"",""semantic-search"",""sentence-transformers"",""vector-search""]","https://github.com/tainguyen07/semantic-search-faiss","2026-08-20T16:21:55Z","2026-08-21T00:42:48Z","2026-08-21T00:37:57Z","git://github.com/tainguyen07/semantic-search-faiss.git","git@github.com:tainguyen07/semantic-search-faiss.git","https://github.com/tainguyen07/semantic-search-faiss.git","https://github.com/tainguyen07/semantic-search-faiss",,89,"Python",0,0,"main","MIT License"
"takzen/watermark-bench",3,"takzen","https://avatars.githubusercontent.com/u/54585264?v=4","A red-teaming and robustness evaluation framework for statistical AI watermarks (SynthID, Kirchenbauer, AWT) against cross-model paraphrase attacks and perturbations.","[""ai-safety"",""ai-security"",""benchmark"",""deep-learning"",""kirchenbauer"",""llm"",""nlp"",""red-teaming"",""synthid"",""watermarking""]","https://github.com/takzen/watermark-bench","2026-08-16T11:15:23Z","2026-08-20T17:50:20Z","2026-08-20T17:41:54Z","git://github.com/takzen/watermark-bench.git","git@github.com:takzen/watermark-bench.git","https://github.com/takzen/watermark-bench.git","https://github.com/takzen/watermark-bench",,512,"Python",0,0,"main","MIT License"
"HEHUA2005/ChineseSocialSurvivalBenchmark",3,"HEHUA2005","https://avatars.githubusercontent.com/u/182347574?v=4",,"[""benchmark"",""chinese-nlp"",""llm-benchmark"",""llm-evaluation"",""nlp"",""social-ai""]","https://github.com/HEHUA2005/ChineseSocialSurvivalBenchmark","2026-08-15T04:09:24Z","2026-08-17T03:53:12Z","2026-08-16T09:48:55Z","git://github.com/HEHUA2005/ChineseSocialSurvivalBenchmark.git","git@github.com:HEHUA2005/ChineseSocialSurvivalBenchmark.git","https://github.com/HEHUA2005/ChineseSocialSurvivalBenchmark.git","https://github.com/HEHUA2005/ChineseSocialSurvivalBenchmark",,613,"Python",0,0,"main","MIT License"
"Greninja9257/PocketLM",3,"Greninja9257","https://avatars.githubusercontent.com/u/169415895?v=4","Micro-LLM Family: Models From 1KB to 1MB","[""chatbot"",""edge-ai"",""from-scratch"",""language-model"",""mlx"",""nlp"",""slm"",""tinyml""]","https://github.com/Greninja9257/PocketLM","2026-08-18T19:31:40Z","2026-08-20T19:06:49Z","2026-08-19T19:30:51Z","git://github.com/Greninja9257/PocketLM.git","git@github.com:Greninja9257/PocketLM.git","https://github.com/Greninja9257/PocketLM.git","https://github.com/Greninja9257/PocketLM","",9308,"Python",0,1,"main","MIT License"
"bydeng01/conv-vs-ped-tutor",3,"bydeng01","https://avatars.githubusercontent.com/u/136845445?v=4","A pre-registered, fully offline-reproducible audit of whether LLM helpfulness judges reward the answer-leakage that undercuts student independence — conversational vs. pedagogical tutor agents on one frozen base.","[""ai-alignment"",""ai-in-education"",""educational-technology"",""evaluation"",""intelligent-tutoring-system"",""langgraph"",""large-language-models"",""llm"",""llm-agents"",""llm-as-a-judge"",""llm-evaluation"",""nlp"",""reward-hacking""]","https://github.com/bydeng01/conv-vs-ped-tutor","2026-08-19T21:02:36Z","2026-08-19T22:02:37Z","2026-08-19T21:36:19Z","git://github.com/bydeng01/conv-vs-ped-tutor.git","git@github.com:bydeng01/conv-vs-ped-tutor.git","https://github.com/bydeng01/conv-vs-ped-tutor.git","https://github.com/bydeng01/conv-vs-ped-tutor","https://arxiv.org/abs/2607.28128",1240,"Python",0,0,"main","Other"
"naiksampada221-sudo/Spam-Email-Detection-ML",2,"naiksampada221-sudo","https://avatars.githubusercontent.com/u/238491963?v=4","Machine learning-based web application for detecting spam emails and text messages using TF-IDF and a trained classification model.","[""email-classification"",""gradio"",""machine-learning"",""nlp"",""python"",""scikit-learn"",""spam-detection""]","https://github.com/naiksampada221-sudo/Spam-Email-Detection-ML","2026-08-16T12:00:15Z","2026-08-17T06:01:04Z","2026-08-16T16:12:28Z","git://github.com/naiksampada221-sudo/Spam-Email-Detection-ML.git","git@github.com:naiksampada221-sudo/Spam-Email-Detection-ML.git","https://github.com/naiksampada221-sudo/Spam-Email-Detection-ML.git","https://github.com/naiksampada221-sudo/Spam-Email-Detection-ML","",198,"Jupyter Notebook",0,0,"main",
"samsingh2008/RAKSHA_GRID",2,"samsingh2008","https://avatars.githubusercontent.com/u/296195629?v=4","RAKSHA GRID — AI-powered disaster decision intelligence platform that transforms fragmented emergency reports into prioritized incidents, optimized resources, adaptive routes, and commander-ready actions.","[""artificial-intelligence"",""decision-support"",""disaster-management"",""emergency-response"",""gis"",""nlp"",""real-time"",""resource-optimization""]","https://github.com/samsingh2008/RAKSHA_GRID","2026-08-20T18:21:07Z","2026-08-20T18:40:21Z","2026-08-20T18:35:34Z","git://github.com/samsingh2008/RAKSHA_GRID.git","git@github.com:samsingh2008/RAKSHA_GRID.git","https://github.com/samsingh2008/RAKSHA_GRID.git","https://github.com/samsingh2008/RAKSHA_GRID","",8,,0,0,"main",
"Krishita17/goal-augment",2,"Krishita17","https://avatars.githubusercontent.com/u/129031138?v=4","LLM-based factorised data augmentation for health-coaching goal extraction","[""back-translation"",""clinical-nlp"",""cycle-consistency"",""data-augmentation"",""dataset-generation"",""few-shot-learning"",""gemini"",""goal-extraction"",""health-coaching"",""llm"",""named-entity-recognition"",""nlp"",""paraphrase-generation"",""prompt-engineering"",""python"",""smart-goals"",""span-labeling"",""streamlit"",""synthetic-data"",""text-generation""]","https://github.com/Krishita17/goal-augment","2026-08-18T22:31:54Z","2026-08-19T13:17:01Z","2026-08-18T22:34:36Z","git://github.com/Krishita17/goal-augment.git","git@github.com:Krishita17/goal-augment.git","https://github.com/Krishita17/goal-augment.git","https://github.com/Krishita17/goal-augment",,2644,"Python",0,0,"main",
"rmmehmet/ai-resume-intelligence",2,"rmmehmet","https://avatars.githubusercontent.com/u/116261890?v=4","AI-powered Resume Intelligence & ATS Optimization platform with explainable ATS scoring, semantic job matching, skill gap analysis, and LLM-based resume optimization.","[""ai"",""artificial-intelligence"",""ats"",""ats-optimization"",""ats-resume"",""embeddings"",""fastapi"",""generative-ai"",""job-matching"",""llm"",""milvus"",""nlp"",""postgresql"",""python"",""rag"",""react"",""resume"",""resume-parser"",""semantic-search"",""semantic-search-engine""]","https://github.com/rmmehmet/ai-resume-intelligence","2026-08-18T17:05:30Z","2026-08-20T21:16:29Z","2026-08-20T21:10:16Z","git://github.com/rmmehmet/ai-resume-intelligence.git","git@github.com:rmmehmet/ai-resume-intelligence.git","https://github.com/rmmehmet/ai-resume-intelligence.git","https://github.com/rmmehmet/ai-resume-intelligence","",100,"Python",0,0,"main",
"bilalabic/awesome-turkish-datasets",2,"bilalabic","https://avatars.githubusercontent.com/u/66368641?v=4","A curated and verified catalog of datasets for Turkish across language, speech, vision, and multimodal AI.","[""awesome-list"",""computer-vision"",""datasets"",""llm"",""multimodal"",""nlp"",""speech"",""speech-to-text"",""turkish-dataset"",""turkish-language"",""turkish-nlp""]","https://github.com/bilalabic/awesome-turkish-datasets","2026-08-14T06:18:39Z","2026-08-20T18:33:28Z","2026-08-20T18:28:42Z","git://github.com/bilalabic/awesome-turkish-datasets.git","git@github.com:bilalabic/awesome-turkish-datasets.git","https://github.com/bilalabic/awesome-turkish-datasets.git","https://github.com/bilalabic/awesome-turkish-datasets","http://bilalabic.github.io/awesome-turkish-datasets/",416,"HTML",0,0,"main",
"adimalkar/termnova",1,"adimalkar","https://avatars.githubusercontent.com/u/98805408?v=4","Production-grade AI Contract Intelligence Platform with Hybrid RAG, LangGraph Agents, OpenTelemetry, Celery Queues, and Responsible Guardrails","[""celery"",""fastapi"",""langgraph"",""nlp"",""opentelemetry"",""pgvector"",""postgresql"",""prometheus"",""rag"",""responsible-ai""]","https://github.com/adimalkar/termnova","2026-08-15T07:47:12Z","2026-08-20T05:25:02Z","2026-08-20T08:03:47Z","git://github.com/adimalkar/termnova.git","git@github.com:adimalkar/termnova.git","https://github.com/adimalkar/termnova.git","https://github.com/adimalkar/termnova",,18011,"Python",0,3,"main","MIT License"
"Meriam-Inoubli/hallucination-detector",1,"Meriam-Inoubli","https://avatars.githubusercontent.com/u/172551406?v=4","Detect LLM hallucinations on any text — semantic entropy (Farquhar 2024) + SUScore (Zhang, EMNLP 2023) + a hybrid, on Google Gemini. Reference-free, tested, installable.","[""ai-safety"",""evaluation"",""gemini"",""hallucination-detection"",""llm"",""machine-learning"",""nlp"",""python"",""semantic-entropy"",""uncertainty-estimation""]","https://github.com/Meriam-Inoubli/hallucination-detector","2026-08-20T22:20:48Z","2026-08-20T23:47:03Z","2026-08-20T23:12:27Z","git://github.com/Meriam-Inoubli/hallucination-detector.git","git@github.com:Meriam-Inoubli/hallucination-detector.git","https://github.com/Meriam-Inoubli/hallucination-detector.git","https://github.com/Meriam-Inoubli/hallucination-detector",,20,"Python",0,0,"main","MIT License"
"pandeyvishwas51-oss/unsynth",1,"pandeyvishwas51-oss","https://avatars.githubusercontent.com/u/265202298?v=4","Local-first toolkit for detecting AI-generated text and disrupting classical detectors plus statistical LLM watermarks (SynthID-Text / tournament-sampling style).","[""ai-detector"",""ai-generated-text"",""ai-text-detection"",""gptzero"",""llm-watermark"",""local-first"",""machine-learning"",""nlp"",""python"",""synthid"",""text-watermarking""]","https://github.com/pandeyvishwas51-oss/unsynth","2026-08-15T16:34:29Z","2026-08-18T14:44:55Z","2026-08-16T00:48:53Z","git://github.com/pandeyvishwas51-oss/unsynth.git","git@github.com:pandeyvishwas51-oss/unsynth.git","https://github.com/pandeyvishwas51-oss/unsynth.git","https://github.com/pandeyvishwas51-oss/unsynth",,274,"Python",0,0,"main","MIT License"
"Vitalcheffe/PRISM",1,"Vitalcheffe","https://avatars.githubusercontent.com/u/95189778?v=4","Non-linear macroeconomic simulator — 47 real policy levers, 3,008-weight neural network, 10,000 autonomous agents, World Bank NLP-derived causal graph.","[""agent-based-modeling"",""macroeconomics"",""neural-network"",""nlp"",""simulation"",""world-bank-data""]","https://github.com/Vitalcheffe/PRISM","2026-08-14T01:43:10Z","2026-08-19T06:05:45Z","2026-08-19T06:04:14Z","git://github.com/Vitalcheffe/PRISM.git","git@github.com:Vitalcheffe/PRISM.git","https://github.com/Vitalcheffe/PRISM.git","https://github.com/Vitalcheffe/PRISM","https://vitalcheffe.github.io/PRISM/",33651,"TypeScript",0,0,"main","MIT License"
"maxime2476/git-survival",1,"maxime2476","https://avatars.githubusercontent.com/u/194831149?v=4","Analyse de survie appliquée aux historiques Git pour comprendre pourquoi et quand les contributeurs abandonnent un projet.","[""churn-prediction"",""git-analytics"",""nlp"",""survival-analysis""]","https://github.com/maxime2476/git-survival","2026-08-16T21:05:24Z","2026-08-20T18:13:34Z","2026-08-20T18:08:59Z","git://github.com/maxime2476/git-survival.git","git@github.com:maxime2476/git-survival.git","https://github.com/maxime2476/git-survival.git","https://github.com/maxime2476/git-survival","",218,"Python",0,0,"main",
"harshithashastry2007-lang/CodeAlpha_Internship_ArtificialIntelligence",1,"harshithashastry2007-lang","https://avatars.githubusercontent.com/u/310912112?v=4","🤖 A collection of AI-powered applications featuring language translation, intelligent FAQ assistance, AI music generation, and real-time object detection & tracking, built using Python, Machine Learning, NLP, Deep Learning, Computer Vision, YOLO, and Streamlit.","[""ai-internship"",""ai-music-generation"",""artificial-intelligence"",""chatbot"",""codealpha"",""computer-vision"",""deep-learning"",""language-translation"",""machine-learning"",""natural-language-processing"",""nlp"",""object-detection"",""object-tracking"",""opencv"",""python"",""streamlit"",""yolo""]","https://github.com/harshithashastry2007-lang/CodeAlpha_Internship_ArtificialIntelligence","2026-08-18T10:08:21Z","2026-08-18T11:00:56Z","2026-08-18T10:36:23Z","git://github.com/harshithashastry2007-lang/CodeAlpha_Internship_ArtificialIntelligence.git","git@github.com:harshithashastry2007-lang/CodeAlpha_Internship_ArtificialIntelligence.git","https://github.com/harshithashastry2007-lang/CodeAlpha_Internship_ArtificialIntelligence.git","https://github.com/harshithashastry2007-lang/CodeAlpha_Internship_ArtificialIntelligence","",4924,"Python",0,0,"main",
