"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"xiaYuTian11/maskit",148,"xiaYuTian11","https://avatars.githubusercontent.com/u/38251546?v=4","数据面具 Data Maskit — 专为大模型打造的本地隐私脱敏网关（请求自动打码，回复流式还原；支持 Cursor / Claude Code / Codex / Pi 等任意可配 Base URL 工具）","[""anthropic"",""claude-code"",""cursor"",""data-masking"",""llm"",""mitmproxy"",""openai"",""pii"",""privacy"",""proxy"",""security"",""tauri""]","https://github.com/xiaYuTian11/maskit","2026-09-09T12:36:06Z","2026-09-12T00:53:10Z","2026-09-11T15:51:19Z","git://github.com/xiaYuTian11/maskit.git","git@github.com:xiaYuTian11/maskit.git","https://github.com/xiaYuTian11/maskit.git","https://github.com/xiaYuTian11/maskit",,3200,"Python",27,3,"master","GNU Affero General Public License v3.0"
"nhovongoc0-max/meme-radar",83,"nhovongoc0-max","https://avatars.githubusercontent.com/u/277285323?v=4","Meme雷达开源版：本地只读、多链 Meme 候选扫描与人工复核工具","[""bsc"",""crypto"",""gmgn"",""meme"",""security"",""solana"",""token-scanner""]","https://github.com/nhovongoc0-max/meme-radar","2026-09-11T12:14:57Z","2026-09-12T01:50:40Z","2026-09-11T12:19:58Z","git://github.com/nhovongoc0-max/meme-radar.git","git@github.com:nhovongoc0-max/meme-radar.git","https://github.com/nhovongoc0-max/meme-radar.git","https://github.com/nhovongoc0-max/meme-radar",,191,"JavaScript",45,0,"main","GNU Affero General Public License v3.0"
"VanTaS15/RotationLedger",65,"VanTaS15","https://avatars.githubusercontent.com/u/22029244?v=4","Track the lifetime of leaked secrets through git history - detect credential-shaped strings offline and report how long each stayed exposed.","[""cli"",""credentials"",""entropy"",""git-history"",""ops"",""python"",""reports"",""rotation"",""secrets"",""security""]","https://github.com/VanTaS15/RotationLedger","2026-09-05T19:16:54Z","2026-09-11T19:43:31Z","2026-09-11T05:56:35Z","git://github.com/VanTaS15/RotationLedger.git","git@github.com:VanTaS15/RotationLedger.git","https://github.com/VanTaS15/RotationLedger.git","https://github.com/VanTaS15/RotationLedger","",655,"Python",4,0,"main","MIT License"
"kevincouton/awesome-rust-migrations",32,"kevincouton","https://avatars.githubusercontent.com/u/10117080?v=4","The curated hub for migrating to Rust and eliminating memory-safety vulnerabilities: AI-assisted rewrites, C2Rust case studies, production adoptions at scale, interop tooling, and the evidence behind it. Originally based on malisper/awesome-ai-rust-rewrites (CC0).","[""awesome"",""awesome-list"",""c2rust"",""memory-safety"",""migration"",""rust"",""security""]","https://github.com/kevincouton/awesome-rust-migrations","2026-09-08T04:26:07Z","2026-09-11T22:37:30Z","2026-09-11T07:12:03Z","git://github.com/kevincouton/awesome-rust-migrations.git","git@github.com:kevincouton/awesome-rust-migrations.git","https://github.com/kevincouton/awesome-rust-migrations.git","https://github.com/kevincouton/awesome-rust-migrations",,58,,1,1,"main","Creative Commons Zero v1.0 Universal"
"anhol0/helloworld-bruteforced",29,"anhol0","https://avatars.githubusercontent.com/u/127053891?v=4","One of the most cursed ways of writing Hello World program in C","[""brute"",""brute-force"",""brute-force-attack"",""brute-force-attacks"",""bruteforce"",""bruteforce-attacks"",""hello"",""hello-world"",""helloworld"",""linux"",""memory"",""obfuscation"",""security""]","https://github.com/anhol0/helloworld-bruteforced","2026-09-10T08:15:53Z","2026-09-11T21:01:42Z","2026-09-11T14:52:38Z","git://github.com/anhol0/helloworld-bruteforced.git","git@github.com:anhol0/helloworld-bruteforced.git","https://github.com/anhol0/helloworld-bruteforced.git","https://github.com/anhol0/helloworld-bruteforced","",16,"C",1,0,"main","MIT License"
"disrex-group/stylesmuggler-mitigation",23,"disrex-group","https://avatars.githubusercontent.com/u/144544824?v=4","Emergency mitigation for StyleSmuggler, the unpatched Magento/Adobe Commerce RCE (Sansec, 2026-09-05). Web-server rules + CLI guard + compromise scanner.","[""adobe-commerce"",""ecommerce-security"",""incident-response"",""magento"",""magento-security"",""magento2"",""mitigation"",""rce"",""security"",""stylesmuggler""]","https://github.com/disrex-group/stylesmuggler-mitigation","2026-09-05T13:03:44Z","2026-09-09T09:31:12Z","2026-09-08T10:56:56Z","git://github.com/disrex-group/stylesmuggler-mitigation.git","git@github.com:disrex-group/stylesmuggler-mitigation.git","https://github.com/disrex-group/stylesmuggler-mitigation.git","https://github.com/disrex-group/stylesmuggler-mitigation",,226,,0,1,"main","MIT License"
"OrbSec/satellite",22,"OrbSec","https://avatars.githubusercontent.com/u/325743213?v=4","Orb44 Watch satellite - inside pulse from your VPS (load, listeners, hardening). Pairs with https://orb44.com","[""cli"",""orb44"",""perimeter"",""satellite"",""security""]","https://github.com/OrbSec/satellite","2026-09-06T18:19:45Z","2026-09-11T16:14:33Z","2026-09-11T16:14:32Z","git://github.com/OrbSec/satellite.git","git@github.com:OrbSec/satellite.git","https://github.com/OrbSec/satellite.git","https://github.com/OrbSec/satellite","https://orb44.com",3175,"JavaScript",0,0,"main","MIT License"
"Ali-Adel-Nour/Arbitra",11,"Ali-Adel-Nour","https://avatars.githubusercontent.com/u/57529627?v=4","The AI-operated escrow court and reputation protocol for the agentic economy.","[""ai-agents"",""api"",""blockchain"",""economics"",""escrow"",""event-driven"",""event-driven-architecture"",""evm"",""finance"",""graph"",""hardhat"",""ipfs"",""javascript"",""mcp-server"",""nextjs"",""nodejs"",""rest-api"",""security"",""solidity"",""typescript""]","https://github.com/Ali-Adel-Nour/Arbitra","2026-09-06T07:56:01Z","2026-09-11T18:02:48Z","2026-09-11T18:02:46Z","git://github.com/Ali-Adel-Nour/Arbitra.git","git@github.com:Ali-Adel-Nour/Arbitra.git","https://github.com/Ali-Adel-Nour/Arbitra.git","https://github.com/Ali-Adel-Nour/Arbitra","",21710,"TypeScript",0,0,"main",
"SyntaxMethod/CVE-2026-41089-Netlogon-RCE-PoC",10,"SyntaxMethod","https://avatars.githubusercontent.com/u/327702698?v=4","CVE-2026-41089 Netlogon RCE PoC — security research, vulnerability validation & defensive testing.","[""active-directory"",""active-directory-security"",""cve"",""cve-2026-41089"",""cybersecurity"",""cybersecurity-education"",""cybersecurity-tools"",""netlogon"",""netlogon-rce"",""penetration-testing"",""rce"",""red-team-tools"",""security"",""security-researchers"",""vulnerability"",""vulnerability-scanner"",""vulnerability-scanners"",""windows"",""windows-11"",""windows-desktop""]","https://github.com/SyntaxMethod/CVE-2026-41089-Netlogon-RCE-PoC","2026-09-11T10:34:35Z","2026-09-12T01:58:46Z","2026-09-11T18:14:44Z","git://github.com/SyntaxMethod/CVE-2026-41089-Netlogon-RCE-PoC.git","git@github.com:SyntaxMethod/CVE-2026-41089-Netlogon-RCE-PoC.git","https://github.com/SyntaxMethod/CVE-2026-41089-Netlogon-RCE-PoC.git","https://github.com/SyntaxMethod/CVE-2026-41089-Netlogon-RCE-PoC","https://zerodayevil.github.io",1930,,0,0,"main","MIT License"
"Codeprojectingfuture/DevSecOps-Lab",9,"Codeprojectingfuture","https://avatars.githubusercontent.com/u/324982484?v=4","End-to-end DevSecOps Task Manager demonstrating automated testing, security scanning, containerization, monitoring, and cloud deployment.","[""ci-cd"",""devsecops"",""nodejs"",""security""]","https://github.com/Codeprojectingfuture/DevSecOps-Lab","2026-09-10T17:32:19Z","2026-09-10T18:07:42Z","2026-09-10T17:33:50Z","git://github.com/Codeprojectingfuture/DevSecOps-Lab.git","git@github.com:Codeprojectingfuture/DevSecOps-Lab.git","https://github.com/Codeprojectingfuture/DevSecOps-Lab.git","https://github.com/Codeprojectingfuture/DevSecOps-Lab","",192,"TypeScript",0,0,"master","MIT License"
