"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"modelscope/ms-cookbook",178,"modelscope","https://avatars.githubusercontent.com/u/109945100?v=4","魔搭紫皮书｜ModelScope Cookbook：面向开发者的开源模型应用实战指南，覆盖模型选型、推理、微调、评测、RAG、Agent 与 AIGC，从跑通第一个模型到构建实际应用。","[""ai-agents"",""cookbook"",""diffusion-models"",""fine-tuning"",""generative-ai"",""llm"",""mcp"",""model-evaluation"",""modelscope"",""rag""]","https://github.com/modelscope/ms-cookbook","2026-09-11T14:27:35Z","2026-09-17T01:52:04Z","2026-09-16T15:51:23Z","git://github.com/modelscope/ms-cookbook.git","git@github.com:modelscope/ms-cookbook.git","https://github.com/modelscope/ms-cookbook.git","https://github.com/modelscope/ms-cookbook","https://modelscope.cn/active/ms-cookbook",121972,"HTML",29,1,"main","Apache License 2.0"
"eduardzamfir/RTI",14,"eduardzamfir","https://avatars.githubusercontent.com/u/98836997?v=4","[arXiv 2026] Code for ""Elastic Token Compression for Pixel-Space Diffusion Transformers""","[""computer-vision"",""diffusion-models"",""efficiency"",""generative-ai"",""jit"",""minit2i"",""pixel-space"",""transformers""]","https://github.com/eduardzamfir/RTI","2026-09-10T13:09:53Z","2026-09-13T23:46:30Z","2026-09-10T13:14:11Z","git://github.com/eduardzamfir/RTI.git","git@github.com:eduardzamfir/RTI.git","https://github.com/eduardzamfir/RTI.git","https://github.com/eduardzamfir/RTI","",636,"Python",2,0,"main","MIT License"
"coleygroup/shepherd2",8,"coleygroup","https://avatars.githubusercontent.com/u/55363694?v=4","ShEPhERD-2 code: Interaction Profiles as a Universal Language for Generative Molecular Design","[""drug-design"",""drug-discovery"",""generative-ai""]","https://github.com/coleygroup/shepherd2","2026-09-10T14:14:58Z","2026-09-16T21:57:31Z","2026-09-16T21:57:59Z","git://github.com/coleygroup/shepherd2.git","git@github.com:coleygroup/shepherd2.git","https://github.com/coleygroup/shepherd2.git","https://github.com/coleygroup/shepherd2","",14848,"Python",0,0,"main","MIT License"
"iamarxs/AnyWorld",8,"iamarxs","https://avatars.githubusercontent.com/u/103537100?v=4","A multiplayer browser game implemented with Python, where an AI acts as the dungeon master and players type out their actions in their own words!","[""ai-dungeon"",""ai-game"",""ai-rpg"",""browser-game"",""collaborative"",""cooperative-game"",""dungeon-master"",""fastapi"",""generative-ai"",""interactive-fiction"",""llm"",""local-ai"",""multiplayer"",""openai-compatible"",""python"",""rpg"",""self-hosted"",""text-adventure"",""websocket""]","https://github.com/iamarxs/AnyWorld","2026-09-15T20:20:52Z","2026-09-16T23:53:28Z","2026-09-16T23:39:42Z","git://github.com/iamarxs/AnyWorld.git","git@github.com:iamarxs/AnyWorld.git","https://github.com/iamarxs/AnyWorld.git","https://github.com/iamarxs/AnyWorld","",1732,"Python",2,0,"main","MIT License"
"m-mahadi/anime-80s-skill",4,"m-mahadi","https://avatars.githubusercontent.com/u/119507414?v=4","Turn any brand, product, event or phrase into an original 1980s anime printed piece: posters, packaging, merch, magazine covers and riso flyers in limited inks.","[""anime"",""claude-code"",""claude-skill"",""generative-ai"",""packaging-design"",""poster-design"",""retro-design"",""risograph"",""screenprint""]","https://github.com/m-mahadi/anime-80s-skill","2026-09-12T10:56:48Z","2026-09-14T06:36:02Z","2026-09-12T10:59:07Z","git://github.com/m-mahadi/anime-80s-skill.git","git@github.com:m-mahadi/anime-80s-skill.git","https://github.com/m-mahadi/anime-80s-skill.git","https://github.com/m-mahadi/anime-80s-skill",,53581,"Python",2,0,"main","MIT License"
"yangbishang/gpt-image-2.5-prompt",4,"yangbishang","https://avatars.githubusercontent.com/u/25996503?v=4","A curated library of 100+ GPT Image 2.5 prompts with outputs, parameters, provenance, and Flare vs Sunburst comparisons.","[""ai-image-generator"",""awesome-list"",""flare"",""generative-ai"",""gpt-image"",""gpt-image-2-5"",""image-editing"",""image-generation"",""openai"",""prompt-engineering"",""prompt-library"",""sunburst""]","https://github.com/yangbishang/gpt-image-2.5-prompt","2026-09-10T02:17:22Z","2026-09-11T04:03:35Z","2026-09-10T14:48:01Z","git://github.com/yangbishang/gpt-image-2.5-prompt.git","git@github.com:yangbishang/gpt-image-2.5-prompt.git","https://github.com/yangbishang/gpt-image-2.5-prompt.git","https://github.com/yangbishang/gpt-image-2.5-prompt","https://lovegen.ai/gpt-image-2-5",3638,"Python",0,0,"main","MIT License"
"Bochidaru/AIImageEditor",3,"Bochidaru","https://avatars.githubusercontent.com/u/127021682?v=4","Modular, memory-aware AI image editing toolkit powered by SAM2, FLUX, OmniPaint, and Real-ESRGAN","[""diffusion-models"",""flux"",""generative-ai"",""upscale-photo""]","https://github.com/Bochidaru/AIImageEditor","2026-09-10T09:29:58Z","2026-09-15T18:22:52Z","2026-09-12T03:22:02Z","git://github.com/Bochidaru/AIImageEditor.git","git@github.com:Bochidaru/AIImageEditor.git","https://github.com/Bochidaru/AIImageEditor.git","https://github.com/Bochidaru/AIImageEditor","",38143,"TypeScript",0,0,"main",
"lballoriani/rpg-campaign-factory",3,"lballoriani","https://avatars.githubusercontent.com/u/274750445?v=4","Multi-agent AI pipeline that generates complete, bilingual (IT/EN) tabletop RPG campaigns as print-ready PDFs. Sample content on the open D&D 5e SRD (CC-BY).","[""ai-agents"",""claude"",""content-generation"",""dnd"",""generative-ai"",""llm"",""multi-agent"",""python"",""ttrpg""]","https://github.com/lballoriani/rpg-campaign-factory","2026-09-11T11:56:51Z","2026-09-16T09:46:22Z","2026-09-11T12:31:20Z","git://github.com/lballoriani/rpg-campaign-factory.git","git@github.com:lballoriani/rpg-campaign-factory.git","https://github.com/lballoriani/rpg-campaign-factory.git","https://github.com/lballoriani/rpg-campaign-factory",,27788,"Python",0,0,"main","Other"
"manishmandia133/Minerals",2,"manishmandia133","https://avatars.githubusercontent.com/u/206361696?v=4","Smart Technology & Patent Tracker for Critical Minerals","[""critical-minerals"",""generative-ai"",""patent-analysis"",""rag-chatbot""]","https://github.com/manishmandia133/Minerals","2026-09-14T13:52:32Z","2026-09-16T20:30:18Z","2026-09-16T20:30:13Z","git://github.com/manishmandia133/Minerals.git","git@github.com:manishmandia133/Minerals.git","https://github.com/manishmandia133/Minerals.git","https://github.com/manishmandia133/Minerals","https://patent.mandia.tech",6079,"JavaScript",0,0,"main",
"VenkateshDoijode/promptfoo-cicd-framework",2,"VenkateshDoijode","https://avatars.githubusercontent.com/u/33220328?v=4","AI Testing Framework using Promptfoo for automated LLM evaluation, red teaming, and CI/CD integration with Jenkins. Supports prompt validation, security testing, custom assertions, API-based model testing, and quality gates for enterprise GenAI applications.","[""ai"",""ai-testing"",""ci-cd"",""cicd"",""evaluation-framework"",""framework"",""generative-ai"",""jenkins"",""jenkins-pipeline"",""llm"",""llm-agents"",""llm-evaluation"",""llm-security"",""llm-tools"",""llmops"",""prompt-engineering"",""prompt-injection"",""promptfoo""]","https://github.com/VenkateshDoijode/promptfoo-cicd-framework","2026-09-11T13:13:48Z","2026-09-13T06:28:44Z","2026-09-12T01:43:57Z","git://github.com/VenkateshDoijode/promptfoo-cicd-framework.git","git@github.com:VenkateshDoijode/promptfoo-cicd-framework.git","https://github.com/VenkateshDoijode/promptfoo-cicd-framework.git","https://github.com/VenkateshDoijode/promptfoo-cicd-framework","",880,,0,0,"main",
